"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"06","California","06001400100","Alameda County, CA - 06001400100","2020","11.5%","","(10.4% - 12.8%)","10.4%","12.8%",
"06","California","06001400200","Alameda County, CA - 06001400200","2020","10.0%","","(9.0% - 11.2%)","9.0%","11.2%",
"06","California","06001400300","Alameda County, CA - 06001400300","2020","11.7%","","(10.4% - 13.2%)","10.4%","13.2%",
"06","California","06001400400","Alameda County, CA - 06001400400","2020","11.6%","","(10.6% - 12.9%)","10.6%","12.9%",
"06","California","06001400500","Alameda County, CA - 06001400500","2020","13.8%","","(12.3% - 15.7%)","12.3%","15.7%",
"06","California","06001400600","Alameda County, CA - 06001400600","2020","12.5%","","(11.1% - 14.1%)","11.1%","14.1%",
"06","California","06001400700","Alameda County, CA - 06001400700","2020","16.1%","","(14.8% - 17.5%)","14.8%","17.5%",
"06","California","06001400800","Alameda County, CA - 06001400800","2020","16.6%","","(15.1% - 18.4%)","15.1%","18.4%",
"06","California","06001400900","Alameda County, CA - 06001400900","2020","17.2%","","(15.5% - 19.0%)","15.5%","19.0%",
"06","California","06001401000","Alameda County, CA - 06001401000","2020","19.4%","","(17.8% - 21.0%)","17.8%","21.0%",
"06","California","06001401100","Alameda County, CA - 06001401100","2020","13.3%","","(11.8% - 15.1%)","11.8%","15.1%",
"06","California","06001401200","Alameda County, CA - 06001401200","2020","12.5%","","(11.1% - 14.1%)","11.1%","14.1%",
"06","California","06001401300","Alameda County, CA - 06001401300","2020","20.4%","","(19.0% - 21.9%)","19.0%","21.9%",
"06","California","06001401400","Alameda County, CA - 06001401400","2020","23.8%","","(22.3% - 25.2%)","22.3%","25.2%",
"06","California","06001401500","Alameda County, CA - 06001401500","2020","19.3%","","(17.2% - 21.5%)","17.2%","21.5%",
"06","California","06001401600","Alameda County, CA - 06001401600","2020","19.3%","","(17.4% - 21.3%)","17.4%","21.3%",
"06","California","06001401700","Alameda County, CA - 06001401700","2020","14.3%","","(13.2% - 15.4%)","13.2%","15.4%",
"06","California","06001401800","Alameda County, CA - 06001401800","2020","19.3%","","(17.1% - 21.4%)","17.1%","21.4%",
