"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",,"Distance to Parks"
"06","California","06001400100","Alameda County, CA - 06001400100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001400200","Alameda County, CA - 06001400200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001400300","Alameda County, CA - 06001400300","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001400400","Alameda County, CA - 06001400400","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001400500","Alameda County, CA - 06001400500","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001400600","Alameda County, CA - 06001400600","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001400700","Alameda County, CA - 06001400700","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001400800","Alameda County, CA - 06001400800","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001400900","Alameda County, CA - 06001400900","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001401000","Alameda County, CA - 06001401000","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001401100","Alameda County, CA - 06001401100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001401200","Alameda County, CA - 06001401200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001401300","Alameda County, CA - 06001401300","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001401400","Alameda County, CA - 06001401400","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001401500","Alameda County, CA - 06001401500","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001401600","Alameda County, CA - 06001401600","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001401700","Alameda County, CA - 06001401700","2020","62.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001401800","Alameda County, CA - 06001401800","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001402200","Alameda County, CA - 06001402200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001402400","Alameda County, CA - 06001402400","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001402500","Alameda County, CA - 06001402500","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001402600","Alameda County, CA - 06001402600","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001402700","Alameda County, CA - 06001402700","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001402801","Alameda County, CA - 06001402801","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001402802","Alameda County, CA - 06001402802","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001402900","Alameda County, CA - 06001402900","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001403000","Alameda County, CA - 06001403000","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001403100","Alameda County, CA - 06001403100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001403301","Alameda County, CA - 06001403301","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
