FIPS,DP05_0001E,DP05_0002E,DP05_0003E,DP05_0005E,DP05_0006E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0017E,DP05_0033E,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0040E,DP05_0041E,DP05_0042E,DP05_0043E,DP05_0044E,DP05_0045E,DP05_0046E,DP05_0047E,DP05_0048E,DP05_0049E,DP05_0050E,DP05_0051E,DP05_0052E,DP05_0071E,DP05_0076E,DP02_0037PE,DP02_0053PE,DP02_0059PE,DP02_0072PE,DP02_0114PE,DP03_0001PE,DP03_0096PE,DP03_0097PE,DP03_0098PE,DP03_0099PE,RESP,CANCER,OZONE,PM25,Alcohol,Smoking,Depression,No. of doctor visits,Obesity,sleep_deprived,Phycial Inactivity,Distance to Parks
6001400100,3035,1562,1473,148,107,238,96,34,328,276,400,394,246,408,218,142,3035,2299,94,0,0,0,0,0,424,84,157,0,26,29,37,91,0,125,2910,12,752,2412,11.8,22.8,2511,99.5,90.3,28.5,0.5,0.437040576666824,26.4966043466877,29.385422875817,11.3053408219178,0.151,0.062,0.13699999999999998,0.7020000000000001,0.22,0.242,0.115,1.0
6001400200,1983,996,987,121,76,100,39,42,463,245,240,76,150,257,149,25,1983,1402,44,6,0,0,0,0,219,0,77,22,9,37,13,61,0,163,1820,26,404,1605,8.9,15.4,1669,99.6,91.5,26.1,0.4,0.477660098637725,28.2819548804253,28.5300862745098,11.2602536986301,0.18600000000000003,0.062,0.153,0.6609999999999999,0.22699999999999998,0.245,0.1,1.0
6001400300,5058,2441,2617,150,451,99,243,91,1163,647,906,316,161,491,135,205,5058,3262,433,6,0,0,0,0,773,341,224,64,55,34,0,55,34,463,4595,23,1147,4024,11.4,14.4,4317,99.7,91.9,21.4,0.3,0.47884244063608,28.59374262243229,28.3112294117647,11.2458791780822,0.193,0.084,0.163,0.647,0.244,0.272,0.11699999999999999,1.0
6001400400,4179,1807,2372,282,206,276,153,105,1058,698,564,143,242,287,122,43,4179,2877,300,36,0,0,0,0,418,65,127,25,34,35,78,54,0,473,3706,136,877,3157,8.3,16.9,3361,97.4,85.4,20.7,2.6,0.474342776755315,28.5718113718648,28.2595901960784,11.2475778082192,0.19899999999999998,0.084,0.16699999999999998,0.639,0.247,0.273,0.11599999999999999,1.0
6001400500,4021,1827,2194,184,106,107,147,459,840,772,508,173,116,228,159,222,4021,1959,1109,0,0,0,0,0,387,116,140,16,26,53,20,16,0,359,3662,40,664,3018,6.1,16.6,3588,97.3,80.2,24.4,2.7,0.479876291158029,28.7812109558038,28.039771241830096,11.2274454794521,0.196,0.1,0.16399999999999998,0.644,0.272,0.297,0.138,1.0
6001400600,1812,791,1021,155,59,44,46,198,415,357,214,90,43,133,42,16,1812,868,511,7,0,0,0,0,188,22,65,77,0,13,0,11,11,126,1686,33,358,1310,7.9,12.9,1554,96.6,82.2,23.1,3.4,0.48274853824358,28.8980584120426,28.0025326797386,11.2259210958904,0.193,0.083,0.158,0.66,0.271,0.297,0.125,1.0
6001400700,5165,2284,2881,310,200,383,92,159,1544,886,598,356,155,314,102,66,5165,2388,1486,43,0,0,0,0,301,96,94,45,25,0,0,41,0,737,4428,56,1158,4021,12.4,20.8,4272,91.0,68.3,28.4,9.0,0.485483097663571,29.1110478169335,27.7958718954248,11.2221561643836,0.17,0.102,0.154,0.687,0.306,0.321,0.161,1.0
6001400800,4001,2143,1858,211,199,203,57,221,1152,598,617,249,82,202,160,50,4001,2026,857,19,0,0,0,0,661,46,422,41,0,109,18,25,4,180,3821,10,776,3110,7.7,21.1,3388,95.2,70.7,31.3,4.8,0.481684141662693,28.6881599657629,27.52302156862749,11.1601989041096,0.17,0.10800000000000001,0.153,0.674,0.29,0.318,0.166,1.0
6001400900,2853,1319,1534,192,89,151,64,304,707,532,392,96,124,132,63,7,2853,1034,846,54,0,0,0,0,142,15,9,86,0,0,21,11,0,531,2322,27,577,2053,8.7,22.8,2408,93.1,73.0,25.5,6.9,0.499925336990152,29.7728286067054,27.5908215686275,11.1800175342466,0.17600000000000002,0.11900000000000001,0.162,0.6729999999999999,0.31,0.327,0.172,1.0
6001401000,6057,2814,3243,308,114,251,168,630,1664,1190,772,227,230,350,94,59,6057,2274,1665,35,0,0,0,0,490,149,194,22,0,42,63,20,95,902,5155,54,1182,4586,10.7,29.8,5374,93.9,74.1,23.3,6.1,0.491035976408194,29.3726393782054,27.7898869281046,11.2177687671233,0.16899999999999998,0.135,0.16399999999999998,0.674,0.321,0.342,0.19399999999999998,1.0
6001401100,4269,2103,2166,164,148,130,135,221,1492,832,729,55,98,212,44,9,4269,2397,450,0,0,0,0,0,676,187,280,24,21,118,14,32,11,334,3935,34,721,3471,7.7,29.1,3755,89.4,73.9,21.2,10.6,0.49603549851277,29.61641537079,28.0018274509804,11.2432928767123,0.20199999999999999,0.099,0.16699999999999998,0.626,0.264,0.297,0.133,1.0
6001401200,2654,1308,1346,145,91,35,68,126,747,482,474,153,125,137,61,10,2654,1789,319,2,0,0,0,0,265,11,152,55,0,18,29,0,17,251,2403,39,459,2189,7.7,19.5,2363,95.9,79.9,21.0,4.1,0.481383166599828,28.6367177329816,28.173077124183,11.2434684931507,0.19399999999999998,0.092,0.16699999999999998,0.642,0.256,0.285,0.125,1.0
6001401300,3830,1976,1854,126,0,53,129,176,1335,623,385,220,241,213,199,130,3830,1597,857,29,0,0,0,0,819,31,247,184,19,168,9,161,0,380,3450,61,506,3346,13.0,26.6,3614,96.0,73.9,29.5,4.0,0.491645193566208,29.6036015620674,27.945930065359505,11.214638630137,0.15,0.11800000000000001,0.14400000000000002,0.6890000000000001,0.289,0.318,0.204,1.0
6001401400,4895,2518,2377,316,127,135,241,546,1578,746,401,233,246,210,84,32,4895,1630,1518,41,0,0,0,0,602,126,83,92,22,103,153,23,11,982,3913,57,1162,3530,13.1,29.8,4317,88.4,50.3,41.3,11.6,0.491447111461211,29.5411642737186,27.767439869281,11.2246219178082,0.158,0.162,0.163,0.6779999999999999,0.35700000000000004,0.36,0.23800000000000002,1.0
6001401500,2816,1569,1247,102,73,79,76,251,949,382,306,212,120,230,35,1,2816,980,1228,11,0,0,0,0,116,0,55,0,7,5,18,31,19,401,2415,25,511,2235,18.7,17.1,2512,93.1,60.7,34.2,6.9,0.488865429790703,29.0603804217438,27.5852326797386,11.2088797260274,0.172,0.134,0.15,0.677,0.33799999999999997,0.348,0.193,1.0
6001401600,2223,1125,1098,94,78,141,91,167,696,328,294,116,53,119,46,0,2223,627,722,3,0,0,0,0,180,20,78,9,4,15,14,40,22,779,1444,49,550,1652,12.2,40.3,1894,87.5,51.8,39.0,12.5,0.482800687731973,28.667161732729,27.569797385620905,11.2100764383562,0.171,0.131,0.16,0.664,0.319,0.34299999999999997,0.193,1.0
6001401700,3210,1845,1365,143,318,4,78,197,791,706,518,100,82,135,75,63,3210,1365,563,0,0,0,0,0,524,108,127,95,10,88,18,78,29,706,2504,42,576,2470,5.4,20.9,2707,88.0,69.1,22.3,12.0,0.503751945492506,29.5504806099561,27.1062196078431,11.1078178082192,0.198,0.1,0.151,0.632,0.284,0.314,0.14300000000000002,0.621
6001401800,1730,830,900,158,84,27,32,120,554,344,142,72,69,60,59,9,1730,596,633,10,0,0,0,0,71,0,18,17,11,17,1,7,0,400,1330,14,369,1309,10.9,20.5,1452,90.2,66.2,27.5,9.8,0.498140193206318,29.4004977026301,27.2503320261438,11.1115189041096,0.174,0.131,0.163,0.6759999999999999,0.34,0.349,0.193,1.0
6001402200,2387,1347,1040,42,129,95,202,100,656,498,229,105,116,121,87,7,2387,795,821,39,0,5,0,0,412,13,244,10,26,9,42,68,0,383,2004,13,612,1819,14.4,28.0,2065,95.4,57.6,41.7,4.6,0.500398939410601,29.162255756147,27.2997901960784,11.1178402739726,0.16699999999999998,0.127,0.156,0.665,0.319,0.32899999999999996,0.204,1.0
6001402400,2401,1020,1381,130,109,35,62,142,678,305,299,152,117,176,123,73,2401,624,1337,16,0,0,0,0,263,24,43,35,0,78,43,40,0,132,2269,0,566,1923,14.3,21.4,2123,88.3,58.7,40.2,11.7,0.485367941324446,28.6894651753814,27.569485620915,11.1960495890411,0.147,0.124,0.145,0.7120000000000001,0.314,0.341,0.21100000000000002,1.0
6001402500,1904,891,1013,121,99,123,166,83,527,202,216,31,125,146,65,0,1904,157,1165,0,0,0,0,0,303,0,124,37,0,0,45,97,0,293,1611,32,439,1312,15.7,24.0,1533,95.5,50.3,58.2,4.5,0.485369428777884,28.7912575833296,27.5399490196078,11.1591756164384,0.126,0.217,0.18,0.7120000000000001,0.395,0.408,0.311,1.0
6001402600,1255,614,641,71,62,34,46,75,166,190,144,79,60,217,84,27,1255,216,324,4,0,0,0,4,487,0,398,33,4,9,13,30,0,182,1073,6,223,967,24.1,58.0,1085,91.2,49.6,57.4,8.8,0.493273546617065,29.230252251024496,27.6630901960784,11.1706449315068,0.102,0.171,0.136,0.716,0.28600000000000003,0.35100000000000003,0.322,1.0
6001402700,1927,862,1065,73,66,59,71,162,549,353,138,117,175,126,6,32,1927,680,689,10,10,0,0,0,259,16,196,42,0,5,0,0,0,360,1567,0,393,1496,15.4,32.3,1714,89.8,58.3,36.0,10.2,0.489533715717126,29.1229439957688,27.7009444444444,11.2003430136986,0.16,0.133,0.157,0.6829999999999999,0.33399999999999996,0.353,0.20199999999999999,1.0
6001402801,3321,2064,1257,224,54,232,17,152,1108,434,449,54,83,439,60,15,3321,1142,1225,35,12,0,0,0,541,28,323,0,0,13,31,146,0,259,3062,13,841,2642,12.4,33.3,2811,97.7,71.4,35.4,2.3,0.547886156743832,36.4179596637824,48.2786901960784,10.65056534246575,0.17800000000000002,0.115,0.171,0.654,0.28600000000000003,0.324,0.203,0.9775
6001402802,1337,703,634,7,27,0,0,32,255,191,152,114,14,389,134,22,1337,375,585,0,0,0,0,0,240,0,185,32,0,23,0,0,0,122,1215,0,51,1271,34.3,24.4,1303,93.6,38.7,68.3,6.4,0.547886156743832,36.4179596637824,48.2786901960784,10.65056534246575,0.17800000000000002,0.115,0.171,0.654,0.28600000000000003,0.324,0.203,0.9775
6001402900,1486,703,783,6,44,0,34,101,505,198,54,40,54,218,134,98,1486,388,213,2,0,0,0,0,708,24,511,59,42,21,5,46,0,160,1326,6,351,1301,24.9,50.5,1432,96.8,58.1,47.2,3.2,0.482251855733979,28.82573428956569,27.97795751633989,11.1991895890411,0.129,0.138,0.14300000000000002,0.69,0.261,0.32,0.257,1.0
6001403000,2850,1211,1639,15,79,50,83,79,305,367,345,217,142,551,437,180,2850,245,110,33,9,0,0,0,2182,18,1842,27,0,0,31,264,110,54,2796,0,406,2544,26.8,80.6,2698,96.3,37.5,67.2,3.7,0.487920976255741,28.8188794473866,27.8969,11.1656010958904,0.055,0.135,0.094,0.758,0.18100000000000002,0.31,0.396,1.0
6001403100,2077,1332,745,90,14,28,55,205,559,404,298,62,141,181,40,0,2077,767,432,0,0,0,0,0,604,12,438,52,19,30,25,28,14,354,1723,43,247,1685,8.1,31.9,1945,94.6,69.3,31.3,5.4,0.496428756281955,29.2838410785016,27.77485163398689,11.1684882191781,0.16699999999999998,0.14,0.127,0.6409999999999999,0.281,0.336,0.212,1.0
6001403301,1615,675,940,0,74,48,158,142,106,125,292,91,211,185,125,58,1615,265,18,121,26,61,0,0,1085,0,996,0,0,0,89,0,0,72,1543,0,355,1193,15.8,65.9,1460,97.6,27.9,71.6,2.4,0.547886156743832,36.4179596637824,48.2786901960784,10.65056534246575,0.17800000000000002,0.115,0.171,0.654,0.28600000000000003,0.324,0.203,0.9775
6001403302,2389,1198,1191,58,46,33,14,110,1054,704,139,75,69,87,0,0,2389,1123,111,64,0,0,0,0,814,111,436,57,16,155,0,39,0,238,2151,26,363,2128,4.9,29.3,2252,95.8,84.3,13.4,4.2,0.547886156743832,36.4179596637824,48.2786901960784,10.65056534246575,0.17800000000000002,0.115,0.171,0.654,0.28600000000000003,0.324,0.203,0.9775
6001403401,2940,1426,1514,55,22,188,0,133,730,401,230,90,184,377,208,322,2940,1373,600,14,0,0,0,0,639,32,560,27,7,0,0,13,13,217,2723,8,496,2542,17.4,30.7,2675,98.2,73.5,48.7,1.8,0.547886156743832,36.4179596637824,48.2786901960784,10.65056534246575,0.17800000000000002,0.115,0.171,0.654,0.28600000000000003,0.324,0.203,0.9775
6001403402,1405,788,617,38,18,0,15,72,534,262,274,97,43,52,0,0,1405,529,373,0,0,0,0,0,373,36,192,22,0,0,0,123,41,190,1215,36,186,1262,9.2,38.0,1349,79.2,70.7,16.4,20.8,0.547886156743832,36.4179596637824,48.2786901960784,10.65056534246575,0.17800000000000002,0.115,0.171,0.654,0.28600000000000003,0.324,0.203,0.9775
6001403501,4454,2159,2295,83,44,85,49,250,1280,890,459,218,291,427,243,135,4454,1828,1108,39,5,0,0,0,985,59,673,88,57,38,8,62,65,271,4183,12,460,3943,14.6,32.5,4242,95.3,69.0,38.5,4.7,0.484760682936103,29.18392727853769,28.130675163398696,11.227944109589,0.156,0.11,0.151,0.68,0.273,0.312,0.183,1.0
6001403502,1902,943,959,66,13,57,0,120,679,298,207,119,108,121,105,9,1902,1036,384,0,0,0,0,0,173,0,50,21,21,10,25,46,0,331,1571,7,313,1646,8.4,27.9,1766,94.2,76.8,25.8,5.8,0.483543114001731,28.9939134626497,28.2165568627451,11.2292835616438,0.19399999999999998,0.102,0.163,0.638,0.271,0.304,0.13699999999999998,1.0
6001403600,5582,2498,3084,438,184,158,53,169,1500,1320,581,401,290,403,79,6,5582,1866,2075,81,0,0,0,0,610,91,88,96,15,42,55,223,0,976,4606,53,799,4580,7.3,34.8,4802,95.4,64.4,37.0,4.6,0.485038923458686,28.936987891957905,28.3267359477124,11.2032936986301,0.17600000000000002,0.10800000000000001,0.155,0.662,0.29,0.319,0.154,1.0
6001403701,2776,1252,1524,38,7,6,6,204,920,348,305,209,113,255,141,224,2776,1396,583,0,0,0,0,0,433,48,44,52,97,60,21,111,0,294,2482,0,329,2515,16.6,23.7,2725,94.5,80.3,27.7,5.5,0.478208218409635,28.5426941477971,28.1837052287582,11.2215736986301,0.17,0.096,0.155,0.664,0.257,0.29100000000000004,0.153,1.0
6001403702,1883,770,1113,101,38,0,10,26,592,457,208,59,112,201,70,9,1883,1056,332,0,0,0,0,0,273,21,136,75,10,10,0,21,0,208,1675,9,173,1708,6.4,17.8,1744,99.0,81.9,27.6,1.0,0.477250398411559,28.591131244791296,28.37552091503269,11.2071830136986,0.18600000000000003,0.09300000000000001,0.165,0.652,0.264,0.28800000000000003,0.131,1.0
