TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06019000100;06;019;1.00;2
TRACT;06019000200;06;019;2.00;2
TRACT;06019000300;06;019;3.00;2
TRACT;06019000400;06;019;4.00;2
TRACT;06019000501;06;019;5.01;2
TRACT;06019000502;06;019;5.02;2
TRACT;06019000601;06;019;6.01;2
TRACT;06019000602;06;019;6.02;2
TRACT;06019000701;06;019;7.01;2
TRACT;06019000702;06;019;7.02;2
TRACT;06019000901;06;019;9.01;2
TRACT;06019000902;06;019;9.02;2
TRACT;06019001000;06;019;10.00;2
TRACT;06019001100;06;019;11.00;2
TRACT;06019001201;06;019;12.01;2
TRACT;06019001202;06;019;12.02;2
TRACT;06019001301;06;019;13.01;2
TRACT;06019001303;06;019;13.03;2
TRACT;06019001304;06;019;13.04;2
TRACT;06019001407;06;019;14.07;2
TRACT;06019001408;06;019;14.08;2
TRACT;06019001409;06;019;14.09;2
TRACT;06019001411;06;019;14.11;2
TRACT;06019001412;06;019;14.12;2
TRACT;06019001413;06;019;14.13;2
TRACT;06019001415;06;019;14.15;2
TRACT;06019001416;06;019;14.16;2
TRACT;06019001417;06;019;14.17;2
TRACT;06019001418;06;019;14.18;2
TRACT;06019001500;06;019;15.00;2
TRACT;06019001600;06;019;16.00;2,3
TRACT;06019001700;06;019;17.00;2
TRACT;06019001800;06;019;18.00;2
TRACT;06019002000;06;019;20.00;2
TRACT;06019002100;06;019;21.00;2
TRACT;06019002200;06;019;22.00;2
TRACT;06019002300;06;019;23.00;2
TRACT;06019002400;06;019;24.00;2
TRACT;06019002501;06;019;25.01;2
TRACT;06019002502;06;019;25.02;2
TRACT;06019002601;06;019;26.01;2
TRACT;06019002602;06;019;26.02;2
TRACT;06019002701;06;019;27.01;2
TRACT;06019002702;06;019;27.02;2
TRACT;06019002800;06;019;28.00;2
TRACT;06019002903;06;019;29.03;2
TRACT;06019002904;06;019;29.04;2
TRACT;06019002905;06;019;29.05;2
TRACT;06019002906;06;019;29.06;2
TRACT;06019003001;06;019;30.01;2
TRACT;06019003003;06;019;30.03;2
TRACT;06019003004;06;019;30.04;2
TRACT;06019003102;06;019;31.02;2
