TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06093000100;06;093;1.00;1
TRACT;06093000200;06;093;2.00;1
TRACT;06093000300;06;093;3.00;1
TRACT;06093000600;06;093;6.00;1
TRACT;06093000701;06;093;7.01;1
TRACT;06093000702;06;093;7.02;1
TRACT;06093000703;06;093;7.03;1
TRACT;06093000800;06;093;8.00;1
TRACT;06093000901;06;093;9.01;1
TRACT;06093000902;06;093;9.02;1
TRACT;06093001001;06;093;10.01;1
TRACT;06093001002;06;093;10.02;1
TRACT;06093001003;06;093;10.03;1
TRACT;06093001100;06;093;11.00;1
TRACT;06093001200;06;093;12.00;1
TRACT;06093001300;06;093;13.00;1
